PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
NSA #00953,iStorage | Belmont Ave,1700 Belmont Ave,Baltimore,MD,21244,39.314701,-76.74835
NSA #01048,iStorage | Belmont Ave,1722 Belmont Ave,Baltimore,MD,21244,39.31651,-76.746604
NSA #00507,iStorage | Point Lookout Rd,20184 Point Lookout Rd,Great Mills,MD,20634,38.237535,-76.497417
NSA #00503,iStorage | Commerce Ave,43890 Commerce Ave,Hollywood,MD,20636,38.320976,-76.557713
NSA #00525,iStorage | Robert S. Crain Hwy,6015 Robert S. Crain Hwy,La Plata,MD,20646,38.547606,-76.98745
NSA #00555,iStorage | Point Lookout Rd,25850 Point Lookout Rd,Leonardtown,MD,20650,38.30232,-76.650765
NSA #00502,iStorage | Willows Rd,21268 Willows Rd,Lexington Park,MD,20653,38.251493,-76.452713
NSA #00553,iStorage | Cutter Ct,5270 Cutter Ct,Prince Frederick,MD,20678,38.508078,-76.639952
NSA #00554,iStorage | 140 Armory Rd,140 Armory Rd,Prince Frederick,MD,20678,38.54879,-76.586723
NSA #01138,iStorage | 191 Armory Rd,191 Armory Rd,Prince Frederick,MD,20678,38.549978,-76.591409
NSA #00693,iStorage | N Beacon St,145 N Beacon St,Brighton,MA,02135,42.355745,-71.145409
NSA #00688,iStorage | Glen Ave,23 Glen Ave,Chelmsford,MA,01824,42.608169,-71.330903
NSA #01041,iStorage | Industrial Pkwy,2 Industrial Pkwy,Easthampton,MA,01027,42.285991,-72.659026
NSA #00694,iStorage | Recreation Park Dr,125 Recreation Park Dr,Hingham,MA,02043,42.175119,-70.909156
NSA #00731,RightSpace Storage | County St,156 County St,Lakeville,MA,02347,41.808213,-70.973076
NSA #00691,iStorage | Broadway,102 Broadway,Lynnfield,MA,01940,42.506616,-71.016163
NSA #00687,iStorage | Rangeway Rd,129 Rangeway Rd,N Billerica,MA,01862,42.57653,-71.307798
NSA #00959,iStorage | Easthampton Rd,547 Easthampton Rd,Northampton,MA,01060,42.291607,-72.659067
NSA #01042,iStorage | 600 Easthampton Rd,600 Easthampton Rd,Northampton,MA,01060,42.289751,-72.659164
NSA #01043,iStorage | 550 Easthampton Rd,550 Easthampton Rd,Northampton,MA,01060,42.291036,-72.658171
NSA #00690,iStorage | Andover St,244 Andover St,Peabody,MA,01960,42.545908,-70.949
NSA #00595,iStorage | Summit St,137 Summit St,Peabody,MA,01960,42.522921,-70.952358
NSA #00692,iStorage | Boston Turnpike,869 Boston Turnpike,Shrewsbury,MA,01545,42.280375,-71.68496
